YEAR;MO;DY;T2M;TS;PRECTOTCORR;QV2M;RH2M;WS10M;ALLSKY_SFC_UV_INDEX;PS;;T2M;TS;PRECTOTCORR;T2M;TS;PRECTOTCORR;QV2M;QV2M_PRED
2011;2;20;26.78;28.21;0.1;16.48;75.62;8.7;2.44;100.81;;;;;;;;;
2011;2;21;26.91;28.48;0.01;16.36;74.56;8.58;2.53;100.81;;;;;;;;;
2011;2;22;27.09;28.55;0.02;16.72;75.38;7.97;2.31;100.78;;;;;;;;;
2011;2;23;27.05;28.51;0.04;17.21;77.69;7.42;2.24;100.76;;;;;;;;;
2011;2;24;26.86;28.15;0.18;17.76;80.88;7.25;1.95;100.85;;;;;;;;;
2011;2;25;27.04;28.37;0.27;17.88;80.75;5.59;2.52;100.91;;;;;;;;;
2011;2;26;27.15;28.53;0.37;17.58;78.69;7.85;2.36;100.8;;;;;;;;;
2011;2;27;27;28.52;0.47;17.76;80;7.9;2.52;100.75;;;;;;;;;
2011;2;28;27.22;28.73;1.31;17.64;78.69;7.67;2.38;100.76;;;;;;;;;
2011;3;1;27.01;28.75;0.6;16.85;76;8.5;1.88;100.79;;;;;;;;;
2011;3;2;26.21;27.69;1.11;16.17;76.38;8.7;1.99;100.87;;;;;;;;;
2011;3;3;26.3;27.89;1.12;15.81;74.5;9.33;2.44;100.87;;;;;;;;;
2011;3;4;26.57;28.35;1.18;16.6;76.81;8.7;2.41;100.81;;;;;;;;;
2011;3;5;26.81;28.52;0.74;16.6;75.94;8.45;2.37;100.82;;;;;;;;;
2011;3;6;27.12;29.18;0.03;16.78;75.38;5.73;2.45;100.82;;;;;;;;;
2011;3;7;27.26;29.23;0.06;17.09;76.06;7.15;2.2;100.73;;;;;;;;;
2011;3;8;27.37;29.34;0.04;17.09;75.69;8.39;2.48;100.81;;;;;;;;;
2011;3;9;27.33;29.41;0.05;16.78;74.62;7.98;2.37;100.9;;;;;;;;;
2011;3;10;26.51;28.28;0.27;16.17;75.25;8.35;1.8;101.04;;;;;;;;;
2011;3;11;26.53;28.73;0.16;15.2;70.88;8.76;2.49;101.18;;;;;;;;;
2011;3;12;26.73;28.84;0;14.77;68.38;9.12;2.74;101.14;;;;;;;;;
2011;3;13;26.94;29.33;0;15.75;71.69;8.44;2.73;101.06;;;;;;;;;
2011;3;14;27.11;29.25;0;15.75;71;8.67;2.77;100.97;;;;;;;;;
2011;3;15;27.26;29.54;0;15.93;71.06;8.57;2.54;101.01;;;;;;;;;
2011;3;16;27.56;29.72;0;15.75;69.25;8.09;2.66;101.03;;;;;;;;;
2011;3;17;27.31;29.32;0;16.3;72.31;10.14;2.69;100.92;;;;;;;;;
2011;3;18;26.89;28.52;0.06;17.15;77.81;11.49;2.55;100.82;;;;;;;;;
2011;3;19;27.12;28.54;0.29;17.27;77.44;9.95;2.36;100.77;;;;;;;;;
2011;3;20;27.15;28.33;0.04;16.54;74.19;9.98;2.22;100.83;;;;;;;;;
2011;3;21;26.95;28.59;0.42;16.48;74.5;10.2;2.23;100.81;;;;;;;;;
2011;3;22;26.19;27.37;2.47;15.99;75.56;9.79;2.38;100.77;;;;;;;;;
2011;3;23;27.09;29.11;0.04;15.69;70.62;7.86;2.86;100.7;;;;;;;;;
2011;3;24;27.42;29.3;0.24;16.97;74.94;6.61;2.9;100.67;;;;;;;;;
2011;3;25;27.45;28.7;3.88;18.19;79.81;5.61;2.43;100.65;;;;;;;;;
2011;3;26;27.83;28.73;4.42;18.8;80.88;2.91;2.21;100.62;;;;;;;;;
2011;3;27;27.95;28.46;1.12;19.04;81.31;3.92;2.06;100.62;;;;;;;;;
2011;3;28;28.35;29.06;0.04;19.1;79.81;4.5;2.73;100.63;;;;;;;;;
2011;3;29;28.19;29.51;0.01;18.07;76.31;6.76;2.48;100.73;;;;;;;;;
2011;3;30;27.99;29.22;0.65;18.31;78;6.41;2.39;100.74;;;;;;;;;
2011;3;31;27.59;28.72;1.77;18.92;82.06;3.19;2.17;100.72;;;;;;;;;
2011;4;1;27.53;28.69;0.53;18.98;82.69;3.1;2.49;100.77;;;;;;;;;
2011;4;2;28.12;29.43;0.1;18.74;79.31;5.48;2.5;100.72;;;;;;;;;
2011;4;3;27.91;29.2;0.02;18.43;78.75;8.84;2.01;100.7;;;;;;;;;
2011;4;4;28.28;29.73;0.27;17.94;75.19;7.76;2.38;100.66;;;;;;;;;
2011;4;5;28.25;29.65;0.51;17.52;73.62;6.15;2.35;100.72;;;;;;;;;
2011;4;6;27.75;28.71;5.77;18.19;78.56;8.2;1.4;100.8;;;;;;;;;
2011;4;7;27.37;28.07;1.66;18.01;79.31;8.83;1.86;100.74;;;;;;;;;
2011;4;8;27.45;28.51;2.06;18.13;79.56;6.1;2.12;100.78;;;;;;;;;
2011;4;9;27.64;28.99;0.49;17.64;76.75;7.52;2.59;100.83;;;;;;;;;
2011;4;10;27.58;28.87;1.57;17.64;77;6.62;2.24;100.93;;;;;;;;;
2011;4;11;27.42;28.73;5.43;17.58;77.5;9.33;2.32;100.9;;;;;;;;;
2011;4;12;27.51;29.36;1.92;17.09;74.94;6.68;2.78;100.91;;;;;;;;;
2011;4;13;27.29;28.9;1.67;17.33;76.88;8.35;2.44;100.94;;;;;;;;;
2011;4;14;27.53;29.3;1.15;17.33;75.94;7.63;2.7;100.82;;;;;;;;;
2011;4;15;28.16;29.76;4.47;18.01;75.94;7.45;2.44;100.72;;;;;;;;;
2011;4;16;27.51;28.57;12.76;18.31;80.06;9.28;1.8;100.77;;;;;;;;;
2011;4;17;27.47;28.57;2.25;17.7;77.56;8.64;2.61;100.8;;;;;;;;;
2011;4;18;27.48;29.03;0.23;17.15;75.56;8.45;2.6;100.89;;;;;;;;;
2011;4;19;27.52;28.81;0.05;17.03;74.62;8.3;2.38;100.94;;;;;;;;;
2011;4;20;27.14;28.58;0;16.36;73.38;7.75;2.43;100.93;;;;;;;;;
2011;4;21;27.03;28.85;0;16.3;73.38;6.76;2.66;100.92;;;;;;;;;
2011;4;22;27.35;29.12;0;16.24;71.94;6.17;2.4;100.95;;;;;;;;;
2011;4;23;27.87;30.04;0.02;16.85;72.44;5.33;2.33;100.96;;;;;;;;;
2011;4;24;27.88;29.41;0.43;18.13;77.56;7.64;2.67;100.86;;;;;;;;;
2011;4;25;27.85;29.05;2.07;18.74;80.31;5.75;2.32;100.7;;;;;;;;;
2011;4;26;27.73;28.26;7.02;19.47;83.75;4.12;1.73;100.71;;;;;;;;;
2011;4;27;27.8;28.21;8.09;19.59;84.06;3.37;2.55;100.8;;;;;;;;;
2011;4;28;27.67;28.46;4.62;19.47;84.31;3.57;1.95;100.91;;;;;;;;;
2011;4;29;28.27;29.7;2.82;18.86;79.19;6.03;2.87;100.71;;;;;;;;;
2011;4;30;28.26;29.65;0.19;18.74;78.5;7.27;2.78;100.58;;;;;;;;;
2011;5;1;28.33;29.3;0.26;18.92;78.88;6.91;2.62;100.53;;;;;;;;;
2011;5;2;28.36;29.05;0.35;19.41;80.75;5.42;2.55;100.59;;;;;;;;;
2011;5;3;28.15;28.65;0.89;19.96;83.75;4.92;2.73;100.63;;;;;;;;;
2011;5;4;28.05;28.64;0.69;19.9;84.19;4.22;2.18;100.71;;;;;;;;;
2011;5;5;27.97;28.87;0.18;19.59;83.25;6.31;1.95;100.65;;;;;;;;;
2011;5;6;28.33;28.94;0.18;19.65;81.81;6.35;2.95;100.64;;;;;;;;;
2011;5;7;28.16;28.87;0.32;20.02;84.06;6.14;2.53;100.59;;;;;;;;;
2011;5;8;28.51;29.33;0.36;20.02;82.44;5.94;2.24;100.56;;;;;;;;;
2011;5;9;28.25;29;0.51;20.02;83.5;4.44;1.8;100.52;;;;;;;;;
2011;5;10;28.33;29.01;1.97;20.02;83.19;4.06;2.63;100.49;;;;;;;;;
2011;5;11;28.12;28.55;3.93;20.57;86.38;4.98;2.1;100.58;;;;;;;;;
2011;5;12;27.69;28.5;4.78;20.32;87.5;4.97;2.23;100.65;;;;;;;;;
2011;5;13;27.37;28.45;7.8;19.23;84.44;3.15;1.59;100.68;;;;;;;;;
2011;5;14;27.26;29.18;5.11;18.68;82.69;2.74;1.64;100.72;;;;;;;;;
2011;5;15;27.19;29.36;6.19;18.25;81.25;3.56;2.39;100.83;;;;;;;;;
2011;5;16;27.35;29.08;38.14;17.52;77.19;4.14;1.83;100.87;;;;;;;;;
2011;5;17;26.66;28.67;12;16.24;74.75;3.4;2.28;100.91;;;;;;;;;
2011;5;18;26.46;29.01;0.04;15.44;72;3.12;2.62;101.02;;;;;;;;;
2011;5;19;26.93;29.23;0;15.44;70.44;3.9;2.73;101.08;;;;;;;;;
2011;5;20;27.53;29.76;0.3;17.4;76.06;3.95;2.61;100.99;;;;;;;;;
2011;5;21;27.74;29.97;0.38;17.88;77.31;4.19;2.49;100.93;;;;;;;;;
2011;5;22;27.56;28.93;5.75;19.04;82.94;3.55;1.96;100.99;;;;;;;;;
2011;5;23;28.05;29.85;0.61;18.31;77.69;3.02;2.38;100.96;;;;;;;;;
2011;5;24;27.91;29.28;10.12;19.47;82.94;3.16;2.41;100.9;;;;;;;;;
2011;5;25;27.99;29.56;8.5;19.23;81.75;2.84;1.7;100.87;;;;;;;;;
2011;5;26;28.23;29.18;10.31;20.08;83.94;2.37;2.63;100.87;;;;;;;;;
2011;5;27;28.76;29.14;23.67;20.57;83.44;3.13;1.82;100.76;;;;;;;;;
2011;5;28;28.01;28.48;27.28;19.96;84.38;3.49;0.94;100.7;;;;;;;;;
2011;5;29;28.05;28.31;9.4;19.96;84.19;4.37;2.09;100.67;;;;;;;;;
2011;5;30;28.24;28.51;12.8;20.45;85.38;3.94;2.48;100.62;;;;;;;;;
2011;5;31;28.18;28.44;10.39;20.94;87.5;4.95;1.57;100.63;;;;;;;;;
2011;6;1;27.59;28.26;16.25;20.26;87.81;3.38;1.5;100.73;;;;;;;;;
2011;6;2;27.5;28.22;6.33;18.8;82.12;3.2;1.78;100.86;;;;;;;;;
2011;6;3;27.94;28.65;7.59;18.92;80.5;3.86;2.02;100.87;;;;;;;;;
2011;6;4;27.69;28.46;10.34;19.9;85.75;5.05;1.85;100.91;;;;;;;;;
2011;6;5;27.47;28.41;2.14;19.1;83.5;3.45;1.79;100.96;;;;;;;;;
2011;6;6;27.56;28.46;1.05;18.68;81.25;3.18;2.57;100.95;;;;;;;;;
2011;6;7;28.1;28.83;0.69;18.92;79.75;3.09;2.45;100.94;;;;;;;;;
2011;6;8;28.15;28.98;0.68;19.29;81.06;2.62;2.39;100.93;;;;;;;;;
2011;6;9;28.73;29.44;1;20.94;85.06;3.4;2.4;100.78;;;;;;;;;
2011;6;10;29.69;29.73;3.37;21.61;83.12;3.38;2.47;100.65;;;;;;;;;
2011;6;11;29.91;29.98;5.49;21.67;82.38;2.88;2.6;100.52;;;;;;;;;
2011;6;12;30.12;30.08;2.1;21.97;82.44;3.68;2.66;100.45;;;;;;;;;
2011;6;13;29.6;29.47;3.53;21.79;84;5.1;2.72;100.54;;;;;;;;;
2011;6;14;29.83;29.6;4.3;21.42;81.69;3.45;2.23;100.57;;;;;;;;;
2011;6;15;28.86;29.41;12.92;20.2;81.5;3.62;1.93;100.64;;;;;;;;;
2011;6;16;28.71;29.23;14.44;20.39;82.81;3.16;1.83;100.71;;;;;;;;;
2011;6;17;27.75;28.75;5.27;19.53;83.94;3.55;2.16;100.88;;;;;;;;;
2011;6;18;28.52;29.13;6.16;20.08;82.69;3.02;2.43;100.9;;;;;;;;;
2011;6;19;28.67;29.15;7.86;20.08;81.94;3.45;2.27;100.83;;;;;;;;;
2011;6;20;28.21;29.34;5;19.71;82.69;2.3;2.24;100.82;;;;;;;;;
2011;6;21;28.87;29.74;5.13;20.26;81.56;3.3;2.55;100.74;;;;;;;;;
2011;6;22;29.45;29.89;11.5;20.81;81.25;4.23;1.79;100.71;;;;;;;;;
2011;6;23;28.79;29.51;9.57;20.57;83.25;4.38;1.55;100.64;;;;;;;;;
2011;6;24;27.32;28.8;7.91;19.53;85.94;3.34;1.17;100.81;;;;;;;;;
2011;6;25;28.1;28.84;22.11;19.53;82.44;3.73;1.83;100.84;;;;;;;;;
2011;6;26;28.31;29.01;17.37;19.53;81.31;3.77;2.07;100.85;;;;;;;;;
2011;6;27;28.71;29.23;11.56;19.84;80.88;4.16;2.55;100.81;;;;;;;;;
2011;6;28;28.95;29.14;8.98;20.63;82.62;5.12;2.57;100.74;;;;;;;;;
2011;6;29;29.01;29.12;10.81;20.39;81.5;3.45;2.48;100.66;;;;;;;;;
2011;6;30;28.5;28.97;12.62;19.96;82.12;3.53;1.66;100.66;;;;;;;;;
2011;7;1;28.37;29.02;6.82;19.29;80;2.58;1.59;100.73;;;;;;;;;
2011;7;2;28.33;29;20.16;19.96;82.94;3.73;1.26;100.72;;;;;;;;;
2011;7;3;28.05;29.05;14.83;19.53;82.5;4.02;2.04;100.69;;;;;;;;;
2011;7;4;28.15;29.32;8.04;19.65;82.44;2.66;2.32;100.73;;;;;;;;;
2011;7;5;28.79;29.48;8.77;19.65;79.5;3.2;2.64;100.68;;;;;;;;;
2011;7;6;29.33;29.68;13.14;20.51;80.5;4.22;2.62;100.69;;;;;;;;;
2011;7;7;28.87;29.32;10.14;19.71;79.56;3.48;2.12;100.75;;;;;;;;;
2011;7;8;29.51;29.73;7.54;20.26;78.88;3.56;2.66;100.63;;;;;;;;;
2011;7;9;29.4;29.79;7.67;20.81;81.5;4.06;2.42;100.59;;;;;;;;;
2011;7;10;29.1;29.5;16.25;20.39;80.94;4.84;1.84;100.57;;;;;;;;;
2011;7;11;28.92;29.23;30.41;20.14;81;2.22;2.27;100.82;;;;;;;;;
2011;7;12;27.95;28.75;18.06;18.92;80.62;2.07;1.12;100.93;;;;;;;;;
2011;7;13;27.62;28.65;21.6;18.43;80.06;2.04;0.85;100.97;;;;;;;;;
2011;7;14;27.08;28.32;20.28;18.86;84.5;4.29;1.21;100.97;;;;;;;;;
2011;7;15;26.79;28.11;5.73;17.94;82;3.78;2.09;101.06;;;;;;;;;
2011;7;16;27.64;28.68;3.9;17.94;78;3.62;2.52;101.01;;;;;;;;;
2011;7;17;28.53;28.91;4.92;19.53;80.38;4.27;2.12;100.84;;;;;;;;;
2011;7;18;28.4;28.68;4.31;19.71;81.75;3.32;1.81;100.83;;;;;;;;;
2011;7;19;28.39;28.75;4.15;20.02;83.06;3.7;2.37;100.8;;;;;;;;;
2011;7;20;29.06;29.16;1.04;20.69;82.69;4.44;2.55;100.73;;;;;;;;;
2011;7;21;28.85;28.96;0.8;21;84.5;4.66;2.48;100.66;;;;;;;;;
2011;7;22;29.27;29.55;0.54;20.94;82.56;4.51;2.66;100.65;;;;;;;;;
2011;7;23;28.94;29.47;0.53;20.51;82.31;5.42;2.52;100.71;;;;;;;;;
2011;7;24;28.65;29.3;2.53;19.96;81.62;4.94;2.46;100.75;;;;;;;;;
2011;7;25;29.03;29;6.19;20.32;81.19;4.39;2.62;100.63;;;;;;;;;
2011;7;26;28.97;29.06;5.52;20.32;81.44;3.89;2.28;100.52;;;;;;;;;
2011;7;27;28.37;28.82;11.9;20.57;85.06;3.52;2.45;100.65;;;;;;;;;
2011;7;28;28.06;28.81;20.03;19.65;83;3.15;1.75;100.69;;;;;;;;;
2011;7;29;27.17;28.08;22.94;19.41;86.19;6.11;1.97;100.68;;;;;;;;;
2011;7;30;27.02;28.22;18.2;18.86;84.69;2.57;0.81;100.85;;;;;;;;;
2011;7;31;27.54;28.44;8.08;19.17;83.44;3.38;2.48;100.91;;;;;;;;;
2011;8;1;28.39;28.94;12.65;19.41;80.44;2.97;2.3;100.84;;;;;;;;;
2011;8;2;28.35;29;13.41;19.84;82.31;4.45;2.34;100.71;;;;;;;;;
2011;8;3;28.29;28.89;10.12;19.84;82.62;3.54;2.44;100.7;;;;;;;;;
2011;8;4;28.26;29.05;4.16;19.53;81.62;3.16;2.66;100.8;;;;;;;;;
2011;8;5;28.92;29.42;3.41;20.69;83.19;3.09;2.76;100.79;;;;;;;;;
2011;8;6;29.6;29.68;2.7;21.61;83.38;4.66;2.66;100.68;;;;;;;;;
2011;8;7;28.57;29.11;3.74;19.9;81.62;4.38;2.44;100.82;;;;;;;;;
2011;8;8;28.91;29.51;2.41;20.2;81.44;3.61;2.7;100.85;;;;;;;;;
2011;8;9;29.28;29.5;4.79;21.06;82.88;3.7;2.3;100.75;;;;;;;;;
2011;8;10;28.96;29.12;6.88;21;84;4.1;1.98;100.69;;;;;;;;;
2011;8;11;28.97;29.28;9.5;20.08;80.38;2.35;2.38;100.66;;;;;;;;;
2011;8;12;27.84;28.88;7.18;19.65;83.94;2.84;0.82;100.77;;;;;;;;;
2011;8;13;27.86;28.76;8.01;19.71;84.12;3.45;2.27;100.78;;;;;;;;;
2011;8;14;28.19;28.61;55.94;20.2;84.56;4.45;2.02;100.65;;;;;;;;;
2011;8;15;28.44;28.83;26.32;20.02;82.88;4.66;1.59;100.7;;;;;;;;;
2011;8;16;27.87;28.54;15.9;19.9;84.94;2.78;2.04;100.85;;;;;;;;;
2011;8;17;27.97;28.62;13.55;19.59;83.38;4.34;2.39;100.87;;;;;;;;;
2011;8;18;28.07;28.71;16.91;20.08;84.62;3.18;2.34;100.75;;;;;;;;;
2011;8;19;27.74;28.54;7.6;19.41;83.44;3.04;2.01;100.72;;;;;;;;;
2011;8;20;27.57;28.65;6.27;19.65;85.44;2.53;2.09;100.8;;;;;;;;;
2011;8;21;28.73;28.98;7.15;20.39;83;4.09;2.54;100.81;;;;;;;;;
2011;8;22;28.31;28.62;6.5;20.08;83.62;3.48;2.25;100.78;;;;;;;;;
2011;8;23;27.98;28.92;4.04;19.53;82.75;3.16;2.02;100.74;;;;;;;;;
2011;8;24;27.89;28.79;17.02;19.04;81.31;3.59;2.1;100.85;;;;;;;;;
2011;8;25;28.13;28.85;7.63;18.55;78.44;2.82;2.22;101.04;;;;;;;;;
2011;8;26;28.65;29.03;2.86;19.84;81;4.4;2.12;101.03;;;;;;;;;
2011;8;27;28.23;28.9;2.76;19.78;82.69;3.05;1.76;100.93;;;;;;;;;
2011;8;28;27.82;28.65;3.27;18.92;81.06;3.04;1.55;100.87;;;;;;;;;
2011;8;29;28.01;28.96;4.04;18.49;78.5;2.41;2.1;100.89;;;;;;;;;
2011;8;30;28.87;29.21;5.12;20.26;81.5;3.12;2.7;100.72;;;;;;;;;
2011;8;31;29.3;29.36;5.76;20.75;81.56;2.95;2.61;100.72;;;;;;;;;
2011;9;1;28.67;29.23;11.79;20.14;82.25;3.53;2.33;100.83;;;;;;;;;
2011;9;2;27.76;28.66;6.46;18.68;80.25;3.9;1.95;100.89;;;;;;;;;
2011;9;3;26.79;28.22;20.96;17.64;80.38;2.2;1.91;100.99;;;;;;;;;
2011;9;4;28.27;29.23;5.88;17.64;73.88;2.57;2.59;100.96;;;;;;;;;
2011;9;5;28.55;29.18;12.8;19.84;81.5;3.34;2.57;100.82;;;;;;;;;
2011;9;6;28.84;29.15;10.15;20.94;84.38;3.74;-999;100.79;;;;;;;;;
2011;9;7;28.92;29.23;21.74;20.81;83.69;4.44;2.26;100.77;;;;;;;;;
2011;9;8;28.03;28.65;22.3;19.47;82.38;3.98;2.23;100.95;;;;;;;;;
2011;9;9;27.26;28.55;28.41;19.23;84.94;2.84;1.77;100.84;;;;;;;;;
2011;9;10;27.01;28.36;4.89;18.8;84.5;4.18;2.56;100.87;;;;;;;;;
2011;9;11;27.79;28.87;6.05;18.43;79.25;2.61;2.4;101.04;;;;;;;;;
2011;9;12;28.13;29.05;19.67;18.8;79.31;3.09;1.98;101.11;;;;;;;;;
2011;9;13;28.56;29.33;4.27;19.04;78.56;3.47;2.48;100.96;;;;;;;;;
2011;9;14;28.51;29.23;5.97;20.45;84;3.88;2.9;100.83;;;;;;;;;
2011;9;15;28.81;29.09;8.22;20.45;82.62;4.23;2.65;100.79;;;;;;;;;
2011;9;16;28.18;28.66;6.42;19.65;82.38;4.18;1.73;100.83;;;;;;;;;
2011;9;17;27.94;28.58;8.53;19.47;82.88;3.21;2.11;100.88;;;;;;;;;
2011;9;18;28.47;29.01;1.79;19.29;79.75;3.8;1.96;100.91;;;;;;;;;
2011;9;19;28.26;29.04;2.13;18.62;77.88;2.88;2.6;100.9;;;;;;;;;
2011;9;20;28.36;28.9;1.86;18.49;76.88;2.38;1.62;100.91;;;;;;;;;
2011;9;21;28.23;29.33;1.71;19.35;81.06;3.08;2.51;100.91;;;;;;;;;
2011;9;22;28.66;28.83;16.31;20.51;83.5;4.17;2.12;100.81;;;;;;;;;
2011;9;23;28.88;29;27.4;20.94;84.31;4.23;2.27;100.71;;;;;;;;;
2011;9;24;28.93;28.83;38.69;20.81;83.44;3.45;1.95;100.66;;;;;;;;;
2011;9;25;28.08;28.55;21.32;19.35;81.5;2.87;1.59;100.77;;;;;;;;;
2011;9;26;27.61;28.27;9.23;18.86;82;3.43;0.97;100.98;;;;;;;;;
2011;9;27;28.11;29;3.01;18.55;78.38;2.14;2.66;100.96;;;;;;;;;
2011;9;28;28.06;28.82;1.43;19.78;83.5;3.17;-999;100.78;;;;;;;;;
2011;9;29;28.58;28.99;2.62;20.63;84.5;2.91;2.07;100.63;;;;;;;;;
2011;9;30;28.5;29.06;3.46;20.63;84.81;2.77;2.1;100.64;;;;;;;;;
2011;10;1;28.56;29;6.88;21.06;86.31;3.46;1.82;100.72;;;;;;;;;
2011;10;2;28.15;28.52;5.88;21.12;88.44;3.67;2.18;100.76;;;;;;;;;
2011;10;3;28.4;28.71;23.52;20.39;84.31;3.46;2.16;100.75;;;;;;;;;
2011;10;4;27.9;28.6;21.09;19.35;82.31;3.45;2.23;100.84;;;;;;;;;
2011;10;5;27.66;28.74;15.08;18.86;81.38;2.34;2.34;100.81;;;;;;;;;
2011;10;6;28.58;29.42;10.72;18.62;76.56;2.41;2.21;100.72;;;;;;;;;
2011;10;7;28.19;29.04;7.98;19.59;82;3.04;2.09;100.67;;;;;;;;;
2011;10;8;28.29;29.05;22.06;19.53;81.25;2.45;2.24;100.67;;;;;;;;;
2011;10;9;26.76;28.64;21.99;18.43;84;3.08;1.47;100.81;;;;;;;;;
2011;10;10;27.29;28.91;13.15;18.62;82.25;2.82;1.97;100.83;;;;;;;;;
2011;10;11;27.67;28.76;16.31;18.98;82;3.05;1.27;100.89;;;;;;;;;
2011;10;12;27.25;28.72;26.22;18.07;80.06;2.48;1.62;100.91;;;;;;;;;
2011;10;13;26.93;28.33;17.58;18.55;83.75;3.38;1.72;100.85;;;;;;;;;
2011;10;14;27.77;28.8;16.05;18.25;78.44;1.88;2.2;100.76;;;;;;;;;
2011;10;15;27.02;28.11;53.83;19.17;85.88;3.96;1.75;100.83;;;;;;;;;
2011;10;16;27.29;28.44;32.06;18.86;83.5;3.02;1.82;100.87;;;;;;;;;
